Author,Committer,Date,Message,Check Runs,Weekday,Year and Month
cj5716,Disservin,2024-06-08 21:40:22+00:00,Make repeated bench runs identical  fixes https://github.com/official-stockfish/Stockfish/issues/5376 closes https://github.com/official-stockfish/Stockfish/pull/5377  No functional changes,True,5,2024-06-01
evqsx,Disservin,2024-06-08 21:39:46+00:00,Remove the correction history bonus in null move search  Passed STC: https://tests.stockfishchess.org/tests/view/666168e191e372763104c664 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 94848 W: 24708 L: 24550 D: 45590 Ptnml(0-2): 289; 11355; 24033; 11403; 344  Passed LTC: https://tests.stockfishchess.org/tests/view/6661e73591e372763104c751 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 70452 W: 17849 L: 17679 D: 34924 Ptnml(0-2): 27; 7707; 19596; 7861; 35  closes https://github.com/official-stockfish/Stockfish/pull/5375  Bench: 1174094,True,5,2024-06-01
dubslow,Disservin,2024-06-08 21:35:00+00:00,Linearize corrHist  Passed STC: https://tests.stockfishchess.org/tests/view/6661fff88dd8f31ed3c5d819 LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 17504 W: 4651 L: 4406 D: 8447 Ptnml(0-2): 71; 1975; 4384; 2282; 40  Passed LTC: https://tests.stockfishchess.org/tests/view/666205b48dd8f31ed3c61296 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 24522 W: 6313 L: 6094 D: 12115 Ptnml(0-2): 14; 2643; 6726; 2866; 12  closes https://github.com/official-stockfish/Stockfish/pull/5374  Bench: 1237729,True,5,2024-06-01
dubslow,Disservin,2024-06-08 21:34:03+00:00,Remove delta from evaluation  Passed STC: https://tests.stockfishchess.org/tests/view/6660e49c6489614cdad14e29 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 188768 W: 48907 L: 48854 D: 91007 Ptnml(0-2): 584; 22571; 48005; 22656; 568  Passed LTC: https://tests.stockfishchess.org/tests/view/6660ff9791e372763104b38c LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 310680 W: 78651 L: 78727 D: 153302 Ptnml(0-2): 180; 34818; 85433; 34716; 193  closes https://github.com/official-stockfish/Stockfish/pull/5373  Bench: 1214575,True,5,2024-06-01
Sopel97,Disservin,2024-06-08 21:32:27+00:00,NumaPolicy fixes and robustness improvements  1. Fix GetProcessGroupAffinity still not getting properly aligned memory    sometimes. 2. Fix a very theoretically possible heap corruption if    GetActiveProcessorGroupCount changes between calls. 3. Fully determine affinity on Windows 11 and Windows Server 2022. It    should only ever be indeterminate in case of an error. 4. Separate isDeterminate for old and new API; as they are &'d together    we still can end up with a subset of processors even if one API is    indeterminate. 5. likely_used_old_api() that is based on actual affinity that's been    detected 6. IMPORTANT: Gather affinities at startup; so that we only later use    the affinites set at startup. Not only does this prevent us from our    own calls interfering with detection but it also means subsequent    setoption NumaPolicy calls should behave as expected. 7. Fix ERROR_INSUFFICIENT_BUFFER from GetThreadSelectedCpuSetMasks being    treated like an error.  Should resolve https://github.com/vondele/Stockfish/commit/02ff76630b358e5f958793cc93df0009d2da65a5#commitcomment-142790025  closes https://github.com/official-stockfish/Stockfish/pull/5372  Bench: 1231853,True,5,2024-06-01
FauziAkram,Disservin,2024-06-08 21:28:07+00:00,Tweak pruning formula  Tweak pruning formula; including a constant. I started from an old yellow patch; if I'm not mistaken by Viz (Unfortunately I lost the link) where he tried something similar. I worked on it; trying different variations; until I came up with a good configuration to pass.  Passed STC: LLR: 2.93 (-2.94;2.94) <0.00;2.00> Total: 213120 W: 55351 L: 54778 D: 102991 Ptnml(0-2): 572; 25209; 54437; 25758; 584 https://tests.stockfishchess.org/tests/view/6660c9a7c340c8eed7758195  Passed LTC: LLR: 2.94 (-2.94;2.94) <0.50;2.50> Total: 315324 W: 80176 L: 79284 D: 155864 Ptnml(0-2): 155; 34711; 87030; 35619; 147 https://tests.stockfishchess.org/tests/view/6660d7bb6489614cdad13d66  closes https://github.com/official-stockfish/Stockfish/pull/5370  Bench: 1231853,True,5,2024-06-01
rn5f107s2,Disservin,2024-06-08 21:10:59+00:00,Simplify razor changes  Remove razoring changes from https://github.com/official-stockfish/Stockfish/pull/5360  The mentioned patch introduced the usage of futility_margin into razoring alongside a tune to futility_margin. It seems the elo gained in this patch comes from the tune of futility_margin and not the introduction of futility_margin to razoring; so simplify it away here.  Passed Non-regression STC: https://tests.stockfishchess.org/tests/view/66606581c340c8eed7757bc8 LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 169056 W: 43922 L: 43848 D: 81286 Ptnml(0-2): 438; 20288; 43034; 20298; 470  Passed Non-regression LTC: https://tests.stockfishchess.org/tests/view/66607764c340c8eed7757c58 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 157134 W: 39805 L: 39723 D: 77606 Ptnml(0-2): 74; 17444; 43461; 17502; 86  Passed rebased Non-regression LTC: https://tests.stockfishchess.org/tests/view/6660c696c340c8eed77580c0 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 135984 W: 34427 L: 34324 D: 67233 Ptnml(0-2): 67; 15063; 37615; 15194; 53  closes https://github.com/official-stockfish/Stockfish/pull/5366  Bench: 1150518,True,5,2024-06-01
Disservin,Disservin,2024-06-08 21:09:02+00:00,Workaround the clang-format inconsistencies  closes https://github.com/official-stockfish/Stockfish/pull/5378  No functional change,True,5,2024-06-01
R-Goc,Disservin,2024-06-08 21:05:56+00:00,Change PGO type for clang  Change type of PGO in clang to IR which is recommended by LLVM/clang and could result in a speedup. https://github.com/llvm/llvm-project/issues/45668  closes https://github.com/official-stockfish/Stockfish/pull/5355  No functional change,True,5,2024-06-01
cj5716,vondele,2024-06-05 19:49:29+00:00,Simplify evaluation constants  Passed STC (<0; 2> by accident): LLR: 2.95 (-2.94;2.94) <0.00;2.00> Total: 346016 W: 89529 L: 88756 D: 167731 Ptnml(0-2): 1012; 41074; 88027; 41919; 976 https://tests.stockfishchess.org/tests/view/6659d6ecf426908fcc6b6929  Passed LTC: LLR: 2.96 (-2.94;2.94) <-1.75;0.25> Total: 89862 W: 22887 L: 22734 D: 44241 Ptnml(0-2): 45; 9999; 24694; 10144; 49 https://tests.stockfishchess.org/tests/view/665a6ebb062b2c3cf814fde8  Passed LTC (Rebased): LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 325500 W: 82734 L: 82826 D: 159940 Ptnml(0-2): 193; 36409; 89665; 36263; 220 https://tests.stockfishchess.org/tests/view/665bd39f44e8416a9cdc1909  closes https://github.com/official-stockfish/Stockfish/pull/5361  Bench 961982,True,2,2024-06-01
