Pull Request Number,Title,Author,Created At,Additions,Deletions,Commits,Merged,Weekday,Year and Month,Total Changes
5378,Workaround the clang-format inconsistencies,Disservin,2024-06-07 16:41:30+00:00,13,9,1,False,4,2024-06-01,22
5377,Make repeated bench runs identical,cj5716,2024-06-07 10:31:24+00:00,1,0,1,False,4,2024-06-01,1
5375,Remove correction history in null move search,evqsx,2024-06-07 07:39:47+00:00,1,9,2,False,4,2024-06-01,10
5374,Linearize corrHist application,dubslow,2024-06-06 23:42:50+00:00,1,1,1,False,3,2024-06-01,2
5373,Eval: remove `delta`,dubslow,2024-06-06 18:22:43+00:00,8,9,1,False,3,2024-06-01,17
5372,Various fixes and robustness improvements to NumaPolicy modes.,Sopel97,2024-06-06 10:49:53+00:00,197,75,1,False,3,2024-06-01,272
5371,Fix ERROR_INSUFFICIENT_BUFFER from GetThreadSelectedCpuSetMasks being treated like an error.,Sopel97,2024-06-06 10:31:06+00:00,14,5,1,False,3,2024-06-01,19
5370,Tweak pruning formula,FauziAkram,2024-06-06 10:11:37+00:00,1,1,1,False,3,2024-06-01,2
5369, Simplify TT interface;  fix search tt race conditions,dubslow,2024-06-06 04:29:25+00:00,224,168,5,False,3,2024-06-01,392
5368,"Simplify ""MCP more after a bad singular search""",Viren6,2024-06-06 00:57:06+00:00,3,9,1,False,3,2024-06-01,12
5367,Consider wider range of moves near leaves.,xoto10,2024-06-05 22:00:13+00:00,4,2,1,False,2,2024-06-01,6
5366,Remove razoring changes from https://github.com/official-stockfish/Stockfish/pull/5360,rn5f107s2,2024-06-05 16:58:35+00:00,19,14,2,False,2,2024-06-01,33
5365,Update clang-format to version 18,Disservin,2024-06-05 16:38:34+00:00,12,12,1,False,2,2024-06-01,24
5364,Copy values from TT on probe. Encapsulate probe and save.,Sopel97,2024-06-05 15:09:34+00:00,167,109,1,False,2,2024-06-01,276
5362,When finding bestMove;  consider more moves near leaves.,xoto10,2024-06-05 08:59:15+00:00,4,2,1,False,2,2024-06-01,6
5361,Simplify evaluation constants,xu-shawn,2024-06-05 04:48:48+00:00,15,21,1,False,2,2024-06-01,36
5360,Use futility margin in razoring margin,Viren6,2024-06-05 03:41:36+00:00,50,50,2,False,2,2024-06-01,100
5359,VVLTC search tune,XInTheDark,2024-06-05 02:24:48+00:00,47,47,1,False,2,2024-06-01,94
5358,VVLTC search tune,XInTheDark,2024-06-05 01:05:45+00:00,47,47,2,False,2,2024-06-01,94
5357,Remove m512_hadd128x16_interleave(),mstembera,2024-06-05 01:03:37+00:00,2,35,1,False,2,2024-06-01,37
5356,Avoid duplicated initializations after startup,Disservin,2024-06-04 20:32:26+00:00,190,125,10,False,1,2024-06-01,315
5355,Change type of PGO in clang. Non-functional.,R-Goc,2024-06-04 16:12:00+00:00,3,3,1,False,1,2024-06-01,6
5354,[RFC] Add a standardized;  consistent benchmark for hardware performance testing.,Sopel97,2024-06-04 15:46:14+00:00,372,0,1,False,1,2024-06-01,372
5353,"Add NumaPolicy ""hardware"" option that bypasses current processor affinity.",Sopel97,2024-06-04 12:14:46+00:00,232,167,1,False,1,2024-06-01,399
5352,Accumulate nodes over all bench positions not just the last,Disservin,2024-06-04 05:57:45+00:00,1,2,1,False,1,2024-06-01,3
5349,Simplify smallnet threshold,gahtan-syarif,2024-06-03 23:43:37+00:00,1,1,3,False,0,2024-06-01,2
5348,Fix TTEntry struct to be usable consistently at one node,peregrineshahin,2024-06-03 22:21:51+00:00,77,68,1,False,0,2024-06-01,145
5347,Update bug report issue template outdated info,SelimWaly,2024-06-03 21:48:47+00:00,1,1,1,False,0,2024-06-01,2
5346,Normalize some variable names and reuse existing logic,Disservin,2024-06-03 17:48:08+00:00,6,8,1,False,0,2024-06-01,14
5345,Use copy of TT entry for consistent values at a node.,locutus2,2024-06-03 15:07:56+00:00,88,72,1,False,0,2024-06-01,160
5344,Remove `delta`/`adjusted`/`complexity` from nnue code,dubslow,2024-06-03 00:01:22+00:00,25,28,1,False,0,2024-06-01,53
5343,Adjust lowest depth constants to the natural place,dubslow,2024-06-02 23:49:17+00:00,2,2,1,False,6,2024-06-01,4
5342,Simplify smallnet threshold,gahtan-syarif,2024-06-02 22:15:57+00:00,1,2,6,False,6,2024-06-01,3
5341,Simplifying the extension formula by removing the move == ttMove condition,FauziAkram,2024-06-02 20:35:40+00:00,1,1,1,False,6,2024-06-01,2
